value,category
17,SPUR
21,SPUR
27,SPUR
21,SPUR
21,SPUR
21,SPUR
27,SPUR
21,SPUR
21,SPUR
770,BIT_MARK
566,BIT_MARK
1822,ONE_SPACE
397,BIT_MARK
560,BIT_MARK
558,BIT_MARK
1715,ONE_SPACE
521,BIT_MARK
595,BIT_MARK
549,BIT_MARK
1678,ONE_SPACE
584,BIT_MARK
533,BIT_MARK
559,BIT_MARK
1808,ONE_SPACE
557,BIT_MARK
500903,GAP
9012,HEADER_MARK
4482,HEADER_SPACE
559,BIT_MARK
559,BIT_MARK
559,BIT_MARK
559,BIT_MARK
566,BIT_MARK
1670,ONE_SPACE
558,BIT_MARK
559,BIT_MARK
559,BIT_MARK
1677,ONE_SPACE
562,BIT_MARK
1677,ONE_SPACE
582,BIT_MARK
533,BIT_MARK
558,BIT_MARK
568,BIT_MARK
551,BIT_MARK
663,BIT_MARK
566,BIT_MARK
1697,ONE_SPACE
637,BIT_MARK
455,BIT_MARK
28,SPUR
23,SPUR
23,SPUR
30,SPUR
23,SPUR
23,SPUR
23,SPUR
30,SPUR
23,SPUR
802,BIT_MARK
548,BIT_MARK
1691,ONE_SPACE
558,BIT_MARK
533,BIT_MARK
552,BIT_MARK
1710,ONE_SPACE
559,BIT_MARK
534,BIT_MARK
571,BIT_MARK
1806,ONE_SPACE
547,BIT_MARK
542,BIT_MARK
577,BIT_MARK
1677,ONE_SPACE
558,BIT_MARK
501057,GAP
9091,HEADER_MARK
4404,HEADER_SPACE
584,BIT_MARK
532,BIT_MARK
586,BIT_MARK
542,BIT_MARK
655,BIT_MARK
1573,ONE_SPACE
558,BIT_MARK
716,BIT_MARK
559,BIT_MARK
1676,ONE_SPACE
585,BIT_MARK
1663,ONE_SPACE
573,BIT_MARK
664,BIT_MARK
558,BIT_MARK
534,BIT_MARK
558,BIT_MARK
586,BIT_MARK
621,BIT_MARK
1615,ONE_SPACE
558,BIT_MARK
560,BIT_MARK
19,SPUR
21,SPUR
41,SPUR
21,SPUR
21,SPUR
39,SPUR
21,SPUR
21,SPUR
28,SPUR
828,BIT_MARK
573,BIT_MARK
1670,ONE_SPACE
564,BIT_MARK
533,BIT_MARK
636,BIT_MARK
1626,ONE_SPACE
558,BIT_MARK
561,BIT_MARK
559,BIT_MARK
1677,ONE_SPACE
557,BIT_MARK
560,BIT_MARK
558,BIT_MARK
1678,ONE_SPACE
532,BIT_MARK
501058,GAP
9038,HEADER_MARK
4508,HEADER_SPACE
662,BIT_MARK
429,BIT_MARK
585,BIT_MARK
533,BIT_MARK
559,BIT_MARK
1714,ONE_SPACE
548,BIT_MARK
540,BIT_MARK
578,BIT_MARK
1782,ONE_SPACE
558,BIT_MARK
1678,ONE_SPACE
689,BIT_MARK
829,BIT_MARK
157,SPUR
533,BIT_MARK
560,BIT_MARK
560,BIT_MARK
558,BIT_MARK
1670,ONE_SPACE
569,BIT_MARK
557,BIT_MARK
18,SPUR
20,SPUR
27,SPUR
21,SPUR
21,SPUR
